s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
A11790	TUK90485632		A11672
A78410	TUK67379491		A12001
A19329	TUK91662731		A13001
A71569	TUK77265711		A9231
A63256	TUK41229231		A13621
A36577	TUK54232641		A13491
A87872	TUK70651281		A12381
A78346	TUK35890851		A14141
A14801	TUK77265712		A9232
A99588	TUK41229232		A13622
A43619	TUK10182441		A10021
A98787	TUK54232642		A13492
A14338	TUK70651282		A12382
A14015	TUK71409032		A11302
A90514	TUK17649531		A9491
A24599	TUK10182442		A10022
A53149	TUK74983602		A12202
A49322	TUK88169222		A9292
A40496	TUK59289451		A9951
A14824	TUK80845591		A12371
A52054	TUK50397231		A9451
A81434	TUK53417541		A10901
A46679	TUK15828042		A9712
A92559	TUK52332581		A9061
A62630	TUK45616301		NA64731
A91844	TUK34059072		A10502
A50927	TUK51179952		A10252
A54434	TUK41679001		A9371
A16558	TUK86155261		A9941
A46237	TUK21223622	SAMEA5814167	A10552
A15777	TUK50397232		A9452
A98758	TUK23246011		A14021
A78523	TUK77315501		A14311
A88967	TUK49076202		A9662
A86745	TUK45616302	SAMEA5814594	NA64732
A12695	TUK96063111		A10141
A15147	TUK83831952	SAMEA5814568	NA60432
A25391	TUK77735702		A9742
A51359	TUK53751531		A11551
A92211	TUK41679002		A9372
A82653	TUK64311431		A9751
A41796	TUK54362862		A13962
A15074	TUK36679561		A10701
A28236	TUK47809342		A10122
A20603	TUK96063112		A10142
A31997	TUK81767841		A13061
A16087	TUK42014431	SAMEA5814524	NA59071
A99489	TUK53751532		A11552
A98895	TUK79516242		A14192
A10521	TUK91895911		A13901
A80434	TUK95082601		A9011
A19248	TUK94058632		A11842
A96271	TUK56546731		A9051
A77575	TUK95139341		A9431
A12578	TUK62010671		A13581
A22215	TUK94603901		A11461
A92216	TUK81767842		A13062
A56091	TUK42014432	SAMEA5814525	NA59072
A94525	TUK28100621		A12101
A13863	TUK94058631		A11841
A67134	TUK91895912		A13902
A29699	TUK17853281	SAMEA5814509	NA58571
A17002	TUK47775381		A9401
A27209	TUK56546732		A9052
A45619	TUK22308711		A13831
A60456	TUK45336261		A11821
A67414	TUK94603902		A11462
A28957	TUK35771121		A13021
A56418	TUK39246981		A9391
A96958	TUK83589462		A13612
A85405	TUK51356512		A9832
A65518	TUK44373451		NA14891
A38913	TUK53417542		A10902
A20242	TUK46989702		A14282
A60366	TUK22308712		A13832
A42931	TUK45336262		A11822
A29150	TUK47809341		A10121
A36487	TUK73993361		A13641
A66998	TUK35771122		A13022
A79056	TUK28100622		A12102
A40062	TUK93205211	SAMEA5814326	NA50961
A75313	TUK92874951	SAMEA5814745	A13841
A34711	TUK83509991		A11981
A90192	TUK54362861		A13961
A25578	TUK95957741		A13661
A57983	TUK73226251		A10851
A87957	TUK73993362		A13642
A78474	TUK83589461		A13611
A36197	TUK39246982		A9392
A39842	TUK92020721		A10911
A18912	TUK93205212	SAMEA5814327	NA50962
A38807	TUK67067211		A10051
A12818	TUK91610961		A9281
A48896	TUK15828041		A9711
A58554	TUK95957742		A13662
A19610	TUK73226252		A10852
A94705	TUK34059071		A10501
A55515	TUK83831951	SAMEA5814567	NA60431
A36559	TUK38918722		A12962
A92384	TUK51179951		A10251
A42576	TUK92020722		A10912
A89115	TUK14940171	SAMEA5814378	NA52201
A84785	TUK67067212		A10052
A18025	TUK80376701		A10821
A13698	TUK27909751		A9251
A64132	TUK45999391		NA2511
A26518	TUK84888711		A10391
A66452	TUK81972501		A10781
A77411	TUK44500482		A9122
A13221	TUK54919471		A9471
A51551	TUK69086492	SAMEA5814244	NA33272
A89599	TUK92695711		A14161
A34263	TUK80376702		A10822
A31971	TUK27909752		A9252
A91974	TUK45999392		NA2512
A85791	TUK67270332		A11531
A43176	TUK23494292		A13652
A15366	TUK44500481		A9121
A71237	TUK79198021		A13971
A51181	TUK15094622		A9202
A13852	TUK69062451		A12171
A36787	TUK25066752	SAMEA5814325	NA50932
A70539	TUK70520192		NA26882
A15240	TUK41435671		A13331
A63217	TUK39777502		A9572
A34271	TUK23494291		A13651
A72375	TUK20305102		A9382
A48872	TUK61848121		NA7111
A33536	TUK54919472		A9472
A13866	TUK15094621		A9201
A43627	TUK41449701		A9241
A84164	TUK42497971		A8231
A53936	TUK59671602		A12432
A56030	TUK25406922	SAMEA5814449	NA54222
A36025	TUK69086491		NA33271
A46848	TUK69062452		A12172
A91531	TUK42776011		A11251
A55588	TUK59522691		A13561
A93889	TUK30309521		A10361
A24721	TUK18923441		A13791
A69898	TUK66460911		A13991
A70376	TUK83863861		A10451
A20251	TUK79167472		A10062
A55323	TUK42776012		A11252
A11421	TUK43400031		A10261
A12321	TUK81972502		A10782
A87878	TUK59522692		A13562
A12314	TUK25406921		NA54221
A13421	TUK35734401		A8961
A35056	TUK56437152		A11422
A74138	TUK11717962		A12142
A65396	TUK83863862		A10452
A15973	TUK79167471		A10061
A58049	TUK82657292		A11262
A68218	TUK43400032		A10262
A29848	TUK61403482		A12232
A30048	TUK31250101		NA5821
A51559	TUK69233841		A9651
A12072	TUK27491442		A12242
A13671	TUK61289561		A13631
A30461	TUK37590602		A9842
A52885	TUK66460912		A13992
A74931	TUK57032622		A9032
A51541	TUK54277942		A12892
A40204	TUK50981961		A7471
A19908	TUK18399461		A9521
A91590	TUK61403481		A12231
A62722	TUK31250102		NA5822
A80823	TUK30309522		A10362
A75697	TUK79198022		A13972
A60233	TUK57032621		A9031
A60757	TUK92695712		A14162
A56189	TUK91923291		A10671
A96658	TUK39547642		A13552
A48678	TUK21285151		A11971
A67290	TUK17192852		A11062
A12296	TUK56102842		A13702
A43485	TUK84004671		A14171
A56915	TUK62280531		A10971
A75588	TUK92551731		A13671
A19723	TUK14593891		NA10601
A19519	TUK20162962	SAMEA5814294	A10892
A11997	TUK97263281		NA9731
A53347	TUK74104472		A10212
A54386	TUK84465211		A10771
A42366	TUK93380852		A10332
A68307	TUK65602822		A9152
A76892	TUK95162771		A9041
A71325	TUK64124202	SAMEA5814064	A10042
A51829	TUK61181862		NA20892
A11293	TUK91923292		A10672
A67545	TUK62228811		A11501
A96902	TUK13635711		A14151
A20525	TUK69356471		A11141
A79355	TUK45923251		A10611
A33587	TUK65602821		A9151
A52955	TUK80787171		NA57101
A20535	TUK11033572		NA64512
A13629	TUK52743711	SAMEA5814711	A13761
A84066	TUK61181861	SAMEA5814065	NA20891
A42552	TUK91438391		A10441
A81430	TUK62228812		A11502
A34606	TUK69356472		A11142
A77205	TUK11033571	SAMEA5814590	NA64511
A12859	TUK90691211		A10241
A45621	TUK95451672	SAMEA5814734	NA92102
A69964	TUK63280471		A12671
A20873	TUK57610922		A12612
A95593	TUK50833621		A10811
A41188	TUK88360642		A11952
A17782	TUK39127531		A12531
A15759	TUK92653272		A14012
A33678	TUK51595002		A13692
A20739	TUK32896772		A8972
A56728	TUK88360641		A11951
A25875	TUK20727312		A13482
A91091	TUK39127532		A12532
A99452	TUK90691212		A10242
A59988	TUK51595001		A13691
A78487	TUK56102841		A13701
A51243	TUK32896771		A8971
A24602	TUK92628201	SAMEA5814161	NA30221
A23267	TUK92551732		A13672
A66091	TUK46469911		A9581
A20079	TUK17192851		A11061
A21624	TUK56946201	SAMEA5813903	A9081
A17715	TUK74104471		A10211
A12248	TUK12751631		A11601
A44876	TUK89196491		A13681
A85412	TUK90773222		A9862
A91765	TUK92628202		NA30222
A25787	TUK39547641		A13551
A80173	NA		A10181
A66604	NA		A9671
A87253	NA		A10182
A41248	NA		A13512
A63513	NA		A11701
A36084	NA		A10461
A10774	NA		A10031
A31225	NA		A11702
A76854	NA		A10032
A54881	NA		A10071
A13942	NA		A9531
A16571	NA		NA19621
A37225	TUK92777552	SAMEA5814773	A13952
A92704	TUK82252902	SAMEA5813878	NA972
A11533	TUK48619092		A14102
A54219	TUK48619091	SAMEA5814807	A14101
A16232	TUK42540882		A8952
A12586	TUK15005701		A13711
A15373	TUK98465332		NA55582
A99506	TUK98638381		A11561
A20140	TUK52009511		A14241
A41824	TUK35480591	SAMEA5814222	A10721
A11668	TUK84565452		A12152
A61503	TUK59047291		A12601
A46196	TUK65602492	SAMEA5814555	A11572
A86161	TUK82367272		A10302
A16002	TUK37308301	SAMEA5814460	A11241
A89911	TUK65514092	SAMEA5814540	A11522
A12035	TUK96644321		A12761
A36719	TUK62544392		NA58082
A55309	TUK40058862		A12562
A10057	TUK39449541	SAMEA5814637	A12221
A13065	TUK84589691	SAMEA5814301	A10931
A42459	TUK62270522		NA80372
A19048	TUK15279441	SAMEA5814616	NA66791
A39465	TUK64685971	SAMEA5814630	A11961
A13258	TUK13809271		NA59331
A97535	TUK37308302	SAMEA5814461	A11242
A19393	TUK25112101		A11811
A28885	TUK96644322		A12762
A54497	TUK37964801		A10291
A93649	TUK39449542	SAMEA5814638	A12222
A14091	TUK84589692	SAMEA5814302	A10932
A39384	TUK36442581	SAMEA5814036	A9871
A19490	TUK15279442		NA66792
A84813	TUK64685972	SAMEA5814631	A11962
A22859	TUK91060072		NA32862
A19471	TUK54717341	SAMEA5814234	A10741
A13823	TUK25112102		A11812
A41325	TUK73746372	SAMEA5814769	A13942
A54922	TUK88579302	SAMEA5813857	NA312
A28623	TUK57778071	SAMEA5814698	A13741
A89778	TUK37964802	SAMEA5814112	A10292
A20228	TUK16729671		A12351
A18117	TUK84355681		NA7411
A13023	TUK44688221		A12501
A34816	TUK81225111	SAMEA5814191	NA32031
A78133	TUK54717342	SAMEA5814235	A10742
A48052	TUK57968041	SAMEA5814600	A11791
A88487	TUK22018152		A13522
A99516	TUK66202991	SAMEA5814186	A10601
A41131	TUK57778072	SAMEA5814699	A13742
A27322	TUK77014522	SAMEA5814260	A10792
A37684	TUK16729672		A12352
A53472	TUK84355682		NA7412
A85060	TUK44688222		A12502
A27387	TUK81225112		NA32032
A19474	TUK22408281		A13751
A99016	TUK57968042	SAMEA5814601	A11792
A49885	TUK22018151		A13521
A10232	TUK66202992	SAMEA5814187	A10602
A60423	TUK62352081		NA70821
A64007	TUK77557411	SAMEA5814767	NA94191
A20780	TUK83839491		A10201
A39783	TUK62642421		A12451
A22184	TUK67879701		A11191
A12353	TUK16542581		A12591
A12001	TUK22408282		A13752
A13533	TUK62326161		A14131
A24436	TUK11659331		A11881
A32723	TUK87121622		A12292
A97723	TUK99365631	SAMEA5814685	NA88361
A43682	TUK77557412	SAMEA5814768	NA94192
A68324	TUK62642422		A12452
A40328	TUK67879702		A11192
A81781	TUK43593802		NA52142
A12164	TUK64948941		NA52001
A64099	TUK66589952		NA59112
A83803	TUK43593801		NA52141
A10566	TUK57849491		NA23701
A49457	TUK60153591		A13301
A98679	TUK64948942		NA52002
A16031	TUK35228131		A12401
A31824	TUK40058861		A12561
A63173	TUK99365632	SAMEA5814686	NA88362
A71239	TUK62270521		NA80371
A84704	TUK82367271		A10301
A75429	TUK55769221	SAMEA5814147	NA26941
A97124	TUK48774221		A13891
A28090	TUK88656852		A13272
A61972	TUK21662272		A13152
A56004	TUK49334822	SAMEA5814507	NA58462
A17135	TUK38788771		NA60811
A16484	TUK90306932	SAMEA5814331	A11002
A69650	TUK55523321		A14251
A98925	TUK95499991		A12251
A45332	TUK79144662		A12632
A25037	TUK30754101	SAMEA5814532	NA59271
A10530	TUK55769222	SAMEA5814148	NA26942
A81257	TUK67357301		A11731
A72914	TUK85108401		A11511
A29459	TUK58972031	SAMEA5814110	A10271
A25679	TUK93914501		A10711
A16335	TUK43940611		A12801
A62838	TUK95499992		A12252
A22671	TUK11347811		A12621
A12324	TUK30754102	SAMEA5814533	NA59272
A19387	TUK36842871		A10351
A99293	TUK67357302		A11732
A25589	TUK59916911		A13391
A32827	TUK85108402		A11512
A83463	TUK49580841	SAMEA5814104	A10221
A75419	TUK43940612		A12802
A41640	TUK96556561		A10481
A95708	TUK33657991		A9001
A96547	TUK82666961		A13531
A89238	TUK36842872		A10352
A96511	TUK94568171		A12781
A71957	TUK36857611		A9131
A16121	TUK26259071		NA92011
A66260	TUK49580842	SAMEA5814105	A10222
A82366	TUK33657992		A9002
A55872	TUK93172472		A9792
A49067	TUK10498161		A10231
A81869	TUK26259072	SAMEA5814732	NA92012
A28951	TUK32732551		A12811
A56270	TUK79486171		A9501
A23494	TUK72236191	SAMEA5814723	NA91821
A52204	TUK96556562		A10482
A20550	TUK19898971		A12881
A76525	TUK19938221		A11181
A88977	TUK10498162		A10232
A11810	TUK93172471		A9791
A76073	TUK32732552		A12812
A97394	TUK79486172		A9502
A56532	TUK72236192		NA91822
A60427	TUK70387161		A9901
A42666	TUK23015962		A11782
A59581	TUK19898972		A12882
A74243	TUK19938222		A11182
A21491	TUK84495332		NA90392
A96258	TUK42795752		A11072
A16723	TUK58171071		NA71721
A38090	TUK90306931		A11001
A13638	TUK16566341		A11851
A32478	TUK34079311		NA55471
A11343	TUK70387162		A9902
A17023	TUK13411171		A14031
A45749	TUK82666962		A13532
A86614	TUK49334821	SAMEA5814506	NA58461
A33584	TUK88656851		A13271
A32810	TUK21662271		A13151
A19758	TUK58171072		NA71722
A93579	TUK81438482		NA53872
A17294	TUK16566342		A11852
A47020	TUK34079312		NA55472
A69407	TUK79373861	SAMEA5814470	NA55211
A80505	TUK79144661		A12631
A61167	TUK13411172		A14032
A51868	TUK48129101		A12391
A56312	TUK22588821	SAMEA5813874	A9021
A59151	TUK42040611	SAMEA5814281	A10871
A15650	TUK69270731	SAMEA5814170	A10571
A55091	TUK18723482		A11402
A23698	TUK50792321		A13341
A17376	TUK33330321	SAMEA5814195	A10631
A63145	TUK39201152		A12042
A18078	TUK22588822	SAMEA5813875	A9022
A18093	TUK42040612	SAMEA5814282	A10872
A18249	TUK69270732	SAMEA5814171	A10572
A61227	TUK27746711		A12091
A10458	TUK18104541	SAMEA5814368	NA52071
A15969	TUK65919431	SAMEA5814245	A10761
A91559	TUK43971141		A11491
A45124	TUK50555632		A10162
A27616	TUK28931811		A12361
A19146	TUK52491802		A12462
A14218	TUK27746712		A12092
A12201	TUK18104542	SAMEA5814369	NA52072
A38898	TUK65919432	SAMEA5814246	A10762
A21593	TUK43971142		A11492
A71356	TUK37415262		A12842
A79417	TUK28931812		A12362
A95920	TUK33181542		A11092
A52916	TUK56612281		A9541
A82500	TUK12557371		A13351
A29594	TUK45797342		A13862
A56360	TUK66939981	SAMEA5814462	NA54901
A12867	TUK61909201		A11761
A91212	TUK93129121		A10401
A75638	TUK94462171		A10621
A18897	TUK81633331		A13191
A85916	TUK56612282		A9542
A42438	TUK12557372		A13352
A69824	TUK66939982	SAMEA5814463	NA54902
A84413	TUK61909202		A11762
A39107	TUK94462172	SAMEA5814190	A10622
A12052	TUK28481791	SAMEA5814275	A10861
A68740	TUK71428581		A10281
A92350	TUK81633332		A13192
A45243	TUK28340901	SAMEA5814226	A10731
A89169	TUK66018991		A12941
A88047	TUK51076031	SAMEA5814709	NA91301
A95638	TUK35680572		A11862
A26280	TUK10534071		A9621
A62133	TUK59610731		A12541
A41359	TUK28481792	SAMEA5814276	A10862
A10014	TUK71428582		A10282
A52033	TUK56422301		A14051
A21965	TUK92038041	SAMEA5814247	NA33431
A44888	TUK51076032		NA91302
A46969	TUK96074441		A9211
A67895	TUK10055362		A9512
A71290	TUK59610732		A12542
A12269	TUK17432371		A11201
A30290	TUK49776942	SAMEA5814809	A14112
A17558	TUK79825461		A9411
A26820	TUK91902251	SAMEA5814288	NA34511
A48057	TUK56422302		A14052
A14712	TUK64836851		A14301
A13664	TUK56030711		A13731
A14059	TUK88695061		A9301
A14784	TUK94189862		A13822
A41100	TUK17432372		A11202
A13737	TUK89884202	SAMEA5814582	A11662
A19707	TUK70338451		A11831
A13527	TUK74042802	SAMEA5814072	A10072
A13346	TUK29965041		A11281
A64564	TUK55961831		A10081
A42982	TUK34515392	SAMEA5814140	A10462
A15061	TUK39794572		A14182
A54428	TUK27305111		A12831
A69694	TUK50766011		A12571
A64489	TUK52332582		A9062
A78397	TUK38918721		A12961
A54113	TUK70338452		A11832
A46671	TUK29965042		A11282
A57107	TUK23142231		NA82301
A25348	TUK47048712		A9462
A41257	TUK27305112		A12832
A11329	TUK50766012		A12572
A56633	TUK98981461	SAMEA5814355	A11051
A18676	TUK28868561		A12341
A12446	TUK79030592		A10962
A33442	TUK79162491		A9321
A13625	TUK23142232		NA82302
A19718	TUK93302472		A9922
A73739	TUK32962201	SAMEA5814204	NA32331
A89983	TUK89966962		A9602
A33486	TUK76032202	SAMEA5814584	A11692
A43421	TUK48730692		A10432
A61801	TUK13399952	SAMEA5814280	NA34362
A85575	TUK77318041		A12661
A91616	TUK77940071		A12721
A16985	TUK21285152		A11972
A63411	TUK86079092	SAMEA5814840	NA99292
A87471	TUK13399951	SAMEA5814279	NA34361
A69630	TUK56221572	SAMEA5814716	NA91422
A98712	TUK77318042		A12662
A57912	TUK77940072		A12722
A49766	TUK79162492		A9322
