s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
A44921	TUK38254891	SAMEA5813945	NA4881
A71428	TUK38254892		NA4882
A67230	TUK87698891		NA8431
A87392	TUK87698892		NA8432
A62746	TUK19508252		NA9682
A18441	TUK35489182		A4022
A13760	TUK38392731		NA71691
A95049	TUK24246471		A4511
A36195	TUK24246472		A4512
A67878	TUK84452381	SAMEA5813949	NA5841
A15945	TUK84452382		NA5842
A21072	TUK12053062		A8392
A62955	TUK12053061		A8391
A13914	TUK57608872		NA1652
A10338	TUK46538731		A5471
A21588	TUK46538732		A5472
A41379	TUK66013931		A8011
A63242	TUK38175291		A8111
A91204	TUK38175292		A8112
A12848	TUK17688561	SAMEA5813978	NA9591
A11470	TUK17688562		NA9592
A61130	TUK52172901		A4401
A33008	TUK52172902		A4402
A14379	TUK70043241		A4601
A68352	TUK70043242		A4602
A80157	TUK77835131		NA1971
A95072	TUK77835132		NA1972
A88068	TUK83966972		A8152
A56617	TUK55263831		NA10691
A51891	TUK96132391		A4431
A66309	TUK96132392		A4432
A22870	TUK62883151		A4561
A64065	TUK62883152		A4562
A59050	TUK11976941		A8381
A77862	TUK11976942		A8382
A33369	TUK81305711		A4251
A84271	TUK42511812		A5122
A48948	TUK18588401		A8421
A15756	TUK18588402		A8422
A79550	TUK73615841		A5001
A64805	TUK73615842		A5002
A34570	TUK57608871		NA1651
A24095	TUK95561421	SAMEA5814058	A5261
A93841	TUK95561422		A5262
A45935	TUK97699831		A5251
A88152	TUK97699832		A5252
A80018	TUK24012111		NA53311
A11154	TUK24012112		NA53312
A65839	TUK26108421		A7731
A44595	TUK26108422		A7732
A98757	TUK49445711		A5561
A46514	TUK49445712		A5562
A17082	TUK32890611		A7331
A10938	TUK32890612		A7332
A14011	TUK12008261	SAMEA5814151	NA30051
A19016	TUK94323462		A5272
A10244	TUK29511051		A3851
A78030	TUK29511052	SAMEA5813852	A3852
A43331	TUK68645101		A7691
A15702	TUK71026991	SAMEA5814395	A6011
A56655	TUK17165441		A7651
A16195	TUK17165442		A7652
A22694	TUK30882581		A7711
A95685	TUK30882582		A7712
A45853	TUK13761442		A8412
A81067	TUK12925201		A7701
A20408	TUK12925202		A7702
A48796	TUK93770561		A7741
A87290	TUK93770562		A7742
A11282	TUK93187451	SAMEA5814021	A5051
A96392	TUK93187452	SAMEA5814022	A5052
A55634	TUK60308581		A7891
A49582	TUK60308582		A7892
A92306	TUK60378141	SAMEA5814026	A5111
A98843	TUK30123072		A5512
A11019	TUK53823812		A7492
A40391	TUK56489661		A4981
A84372	TUK89244721		A6341
A84691	TUK75828641		NA30031
A43365	TUK75828642		NA30032
A50427	TUK15968252		A4942
A17427	TUK57801341		NA20321
A42647	TUK17278812		NA15142
A48391	TUK91107472		A6872
A22845	TUK91107471		A6871
A67054	TUK97341171		A7531
A77367	TUK97341172		A7532
A92700	TUK70017381	SAMEA5814068	A5321
A56543	TUK70017382	SAMEA5814069	A5322
A47941	TUK93990802		NA59872
A18334	TUK50710661		A8741
A65246	TUK50710662	SAMEA5814790	A8742
A65371	TUK26433751		A4641
A75293	TUK26433752		A4642
A69610	TUK21790861		NA21191
